Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David de Gea,es ESP,GK,32-087,20,20,"1,800",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Bruno Fernandes,pt POR,"MF,FW",28-147,19,19,"1,708",19,4,4,4,0,0,5,0,0.21,0.21,0.42,0.21,0.42,3.3,3.3,6.7,10,0.17,0.35,0.53,0.17,0.53,Matches
Marcus Rashford,eng ENG,FW,25-094,20,18,"1,615",17.9,9,3,9,0,0,2,0,0.5,0.17,0.67,0.5,0.67,7.5,7.5,2.3,9.8,0.42,0.13,0.54,0.42,0.54,Matches
Christian Eriksen,dk DEN,MF,30-353,19,18,"1,489",16.5,1,7,1,0,0,3,0,0.06,0.42,0.48,0.06,0.48,2.7,2.7,3,5.7,0.16,0.18,0.34,0.16,0.34,Matches
Lisandro Martínez,ar ARG,DF,25-015,18,16,"1,388",15.4,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,0.2,0.2,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Luke Shaw,eng ENG,DF,27-205,16,15,"1,323",14.7,1,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,1.6,2.1,0.04,0.11,0.15,0.04,0.15,Matches
Diogo Dalot,pt POR,DF,23-321,14,13,"1,187",13.2,0,1,0,0,0,5,0,0,0.08,0.08,0,0.08,0.8,0.8,1.4,2.1,0.06,0.1,0.16,0.06,0.16,Matches
Raphaël Varane,fr FRA,DF,29-283,15,13,"1,119",12.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Casemiro,br BRA,MF,30-344,16,12,"1,161",12.9,2,3,2,0,0,5,0,0.16,0.23,0.39,0.16,0.39,2.1,2.1,2,4,0.16,0.15,0.31,0.16,0.31,Matches
Antony,br BRA,FW,22-343,11,10,828,9.2,3,0,3,0,0,2,0,0.33,0,0.33,0.33,0.33,2.7,2.7,0.4,3.1,0.29,0.05,0.34,0.29,0.34,Matches
Jadon Sancho,eng ENG,FW,22-314,10,10,714,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,1.6,1.6,0.8,2.5,0.21,0.1,0.31,0.21,0.31,Matches
Tyrell Malacia,nl NED,DF,23-169,12,9,836,9.3,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
Scott McTominay,sct SCO,MF,26-056,15,7,753,8.4,0,0,0,0,0,5,0,0,0,0,0,0,0.8,0.8,0.2,1,0.09,0.03,0.12,0.09,0.12,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-068,7,6,523,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.01,0.09,0.1,0.01,0.1,Matches
Anthony Martial,fr FRA,FW,27-059,9,6,458,5.1,3,2,2,1,1,0,0,0.59,0.39,0.98,0.39,0.79,3.2,2.4,0.9,3.3,0.63,0.18,0.81,0.47,0.66,Matches
Fred,br BRA,MF,29-334,17,5,583,6.5,2,0,2,0,0,4,0,0.31,0,0.31,0.31,0.31,1.3,1.3,1.1,2.3,0.19,0.16,0.36,0.19,0.36,Matches
Anthony Elanga,se SWE,FW,20-281,13,5,397,4.4,0,1,0,0,0,0,0,0,0.23,0.23,0,0.23,0.6,0.6,0.8,1.4,0.13,0.18,0.31,0.13,0.31,Matches
Cristiano Ronaldo,pt POR,FW,37-362,10,4,525,5.8,1,0,1,0,0,2,0,0.17,0,0.17,0.17,0.17,1.9,1.9,0.4,2.3,0.32,0.07,0.4,0.32,0.4,Matches
Victor Lindelöf,se SWE,DF,28-200,6,4,439,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,29-334,8,4,387,4.3,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0,0.2,0.05,0.01,0.06,0.05,0.06,Matches
Alejandro Garnacho,es ESP,FW,18-216,9,2,242,2.7,1,2,1,0,0,2,0,0.37,0.74,1.12,0.37,1.12,0.9,0.9,1,1.9,0.34,0.37,0.71,0.34,0.71,Matches
Donny van de Beek,nl NED,MF,25-290,7,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.06,0.11,0.05,0.11,Matches
Wout Weghorst,nl NED,FW,30-179,2,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.03,0.09,0.06,0.09,Matches
Rhys Bennett,eng ENG,DF,19-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathan Bishop,eng ENG,GK,23-110,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Martin Dúbravka,sk SVK,GK,34-018,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Garner,eng ENG,MF,21-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,36-293,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Zidane Iqbal,iq IRQ,MF,19-281,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matej Kovar,cz CZE,GK,22-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kobbie Mainoo,eng ENG,MF,17-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Facundo Pellistri,uy URU,MF,21-044,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Shola Shoretire,eng ENG,MF,19-000,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brandon Williams,eng ENG,DF,22-152,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,20,220,"1,800",20,30,25,29,1,1,50,0,1.5,1.25,2.75,1.45,2.7,29.6,28.8,23.5,52.3,1.48,1.18,2.65,1.44,2.61,
Opponent Total,,,27.3,20,220,"1,800",20,25,15,24,1,1,24,0,1.25,0.75,2,1.2,1.95,23.5,22.8,16.9,39.7,1.18,0.85,2.02,1.14,1.98,
